path,size_bytes,last_modified,one_line_purpose,classification,reason
factory/agents/agent-roles-v1.md,781,2026-05-12T11:33:16.608Z,Defines draft agent roles and basic rule.,REWRITE,Agent roles are valid but too short for Phase 0 role cards.
factory/anti-hallucination-rules.md,801,2026-05-11T20:14:28.724Z,Defines source and evidence rules.,KEEP,Current core rule: source and evidence required.
factory/architecture/architecture-decision-record-template.md,473,2026-05-11T20:14:28.730Z,Template for architecture decision records.,KEEP,Useful ADR template for design decisions.
factory/architecture/default-architecture.md,1157,2026-05-11T20:14:28.730Z,Baseline architecture guidance.,KEEP,Current baseline architecture guidance.
factory/commercial/product-market-gate.md,3283,2026-05-11T20:14:28.729Z,Commercial gate for product ideas.,KEEP,Current commercial gate for buyer and pain checks.
factory/design/ux-quality-standard.md,816,2026-05-11T20:14:28.715Z,UX quality bar for products.,KEEP,Current product UX quality bar.
factory/factory-1-readiness-checklist.md,992,2026-05-11T20:14:28.743Z,Factory readiness checklist.,REWRITE,Checklist is useful but incomplete against v0.9 factory scope.
factory/factory-charter.md,712,2026-05-11T20:14:28.714Z,Factory purpose and charter.,REWRITE,Concept is valid but needs alignment to Phase 0 process.
factory/factory-model-summary.md,6970,2026-05-13T09:25:42.960Z,Summary of FactoryModel and agents.,REWRITE,Recent summary is useful but not a formal Phase 0 source.
factory/governance/decision-rights-matrix.md,695,2026-05-11T20:14:28.732Z,Decision ownership and approval matrix.,KEEP,Current human approval boundary source.
factory/governance/evidence-ledger-format.md,676,2026-05-11T20:14:28.732Z,Evidence ledger format.,KEEP,Current evidence record format source.
factory/governance/evidence-policy.md,351,2026-05-11T20:14:28.733Z,Evidence capture policy.,KEEP,Current evidence policy source.
factory/handoff/state-baseline-2026-05-13.md,3911,2026-05-13T22:18:10.852Z,T0 repository baseline report.,KEEP,Current T0 baseline evidence.
factory/jarvis-build-spec.md,9425,2026-05-13T09:45:01.946Z,Jarvis implementation specification.,REWRITE,Jarvis spec is useful but broader Phase 0 docs should govern implementation.
factory/learning/interviews/learning-2026-05-12T12-42-33-924Z.md,3919,2026-05-12T12:42:33.925Z,Generated moderator learning interview record.,ARCHIVE,Generated runtime snapshot; ledger keeps canonical summary.
factory/learning/interviews/learning-2026-05-12T12-43-21-954Z.md,4055,2026-05-12T12:43:21.955Z,Generated moderator learning interview record.,ARCHIVE,Generated runtime snapshot; ledger keeps canonical summary.
factory/learning/interviews/learning-2026-05-12T12-58-52-996Z.md,4226,2026-05-12T12:58:52.997Z,Generated moderator learning interview record.,ARCHIVE,Generated runtime snapshot; ledger keeps canonical summary.
factory/learning/interviews/learning-2026-05-12T13-48-38-544Z.md,3969,2026-05-12T13:48:38.544Z,Generated moderator learning interview record.,ARCHIVE,Generated runtime snapshot; ledger keeps canonical summary.
factory/learning/interviews/learning-2026-05-12T15-16-30-962Z.md,4226,2026-05-12T15:16:30.963Z,Generated moderator learning interview record.,ARCHIVE,Generated runtime snapshot; ledger keeps canonical summary.
factory/learning/interviews/learning-2026-05-12T16-25-03-147Z.md,4226,2026-05-12T16:25:03.148Z,Generated moderator learning interview record.,ARCHIVE,Generated runtime snapshot; ledger keeps canonical summary.
factory/learning/interviews/learning-2026-05-12T16-38-25-256Z.md,4226,2026-05-12T16:38:25.257Z,Generated moderator learning interview record.,ARCHIVE,Generated runtime snapshot; ledger keeps canonical summary.
factory/learning/interviews/learning-2026-05-12T17-06-59-244Z.md,4226,2026-05-12T17:06:59.245Z,Generated moderator learning interview record.,ARCHIVE,Generated runtime snapshot; ledger keeps canonical summary.
factory/learning/interviews/learning-2026-05-12T17-12-19-794Z.md,4226,2026-05-12T17:12:19.795Z,Generated moderator learning interview record.,ARCHIVE,Generated runtime snapshot; ledger keeps canonical summary.
factory/learning/interviews/learning-2026-05-12T17-18-56-443Z.md,3969,2026-05-12T17:18:56.444Z,Generated moderator learning interview record.,ARCHIVE,Generated runtime snapshot; ledger keeps canonical summary.
factory/learning/interviews/learning-2026-05-12T17-20-45-584Z.md,4226,2026-05-12T17:20:45.585Z,Generated moderator learning interview record.,ARCHIVE,Generated runtime snapshot; ledger keeps canonical summary.
factory/learning/interviews/learning-2026-05-13T09-57-45-104Z.md,4226,2026-05-13T09:57:45.107Z,Generated moderator learning interview record.,ARCHIVE,Generated runtime snapshot; ledger keeps canonical summary.
factory/learning/interviews/learning-2026-05-13T09-58-23-853Z.md,4226,2026-05-13T09:58:23.854Z,Generated moderator learning interview record.,ARCHIVE,Generated runtime snapshot; ledger keeps canonical summary.
factory/learning/interviews/learning-2026-05-13T17-26-29-625Z.md,4226,2026-05-13T17:26:29.626Z,Generated moderator learning interview record.,ARCHIVE,Generated runtime snapshot; ledger keeps canonical summary.
factory/legal/privacy-and-legal-baseline.md,620,2026-05-11T20:14:28.740Z,Privacy and legal baseline.,KEEP,Current legal and privacy baseline.
factory/modules/module-contract-template.md,740,2026-05-11T20:14:28.742Z,Reusable module contract template.,KEEP,Useful reusable module contract template.
factory/modules/reusable-module-roadmap.md,711,2026-05-11T20:14:28.742Z,Roadmap for reusable modules.,KEEP,Current roadmap for reusable modules.
factory/operations/agent-parallelism-and-dependencies.md,6653,2026-05-12T11:29:16.073Z,Rules for agent dependency control.,KEEP,Current dependency and parallel work rules.
